SeriesHash,MagneticFieldStrength,MRAcquisitionType,PulseSequenceName,SliceThickness,EchoTime,RepetitionTime,FlipAngle,EchoTrainLength,ParallelReductionFactorInPlane,AcquisitionDuration,PixelBandwidth,ImageOrientationPatientDICOM,BidsGuess,NIfTIPath
000038B1,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.617,193,"[0.999848, 0.0174524, 4.10655e-05, -0.0174524, 0.999845, 0.00235264]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\000038B1\000038B1_ax_t2_tse_Med_DRS_480_20251105000000_3.nii.gz
000055EB,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,88.997,191,"[0.998966, 0.0454529, -0.000686458, -0.00895131, 0.181882, -0.98328]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\000055EB\000055EB_cor_t2_tse_20251105000000_16.nii.gz
00008927,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.137,191,"[0.999848, 0.0174524, 4.10655e-05, -0.0174524, 0.999845, 0.00235264]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\00008927\00008927_ax_t2_tse_20251105000000_2.nii.gz
00003344,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,33.079,193,"[0.988182, 0.126545, -0.086504, -0.126063, 0.991961, 0.0110354]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00003344\00003344_ax_t2_tse_Med_DRS_480_20251023000000_3.nii.gz
0000344E,3.0,2D,*tse2d1_17,5.0,0.088,5.13,150,17,2.0,138.487,191,"[0.988174, 0.126609, -0.0865033, -0.126127, 0.991953, 0.011041]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\0000344E\0000344E_ax_t2_tse_20251023000000_2.nii.gz
00007B72,3.0,2D,*tse2d1_17,5.0,0.088,5.72,150,17,2.0,62.897,191,"[0.984712, 0.169268, -0.0411178, -0.0672888, 0.151912, -0.986101]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00007B72\00007B72_cor_t2_tse_20251023000000_16.nii.gz
000006EE,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.137,191,"[0.999848, 0.017425, -0.000978225, -0.0174524, 0.998276, -0.0560425]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\000006EE\000006EE_ax_t2_tse_20251014000000_2.nii.gz
00002631,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,88.997,191,"[0.999735, -0.023013, -0.00067275, 0.00550074, 0.267135, -0.963643]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\00002631\00002631_cor_t2_tse_20251014000000_16.nii.gz
0000A47D,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.999848, 0.017425, -0.000978225, -0.0174524, 0.998276, -0.0560425]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\0000A47D\0000A47D_ax_t2_tse_Med_DRS_480_20251014000000_3.nii.gz
00000323,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,88.997,191,"[0.999956, 0.00940466, -0.00067269, -0.0031639, 0.267483, -0.963557]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00000323\00000323_cor_t2_tse_20251001000000_16.nii.gz
00002DA5,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.999305, 0.019984, -0.0314727, -0.0174429, 0.996719, 0.0790399]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00002DA5\00002DA5_ax_t2_tse_20251001000000_2.nii.gz
00004447,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.999305, 0.019984, -0.0314727, -0.0174429, 0.996719, 0.0790399]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-003\DICOM\0000AEF4\AA1EAF87\AACD23BA\00004447\00004447_ax_t2_tse_Med_DRS_480_20251001000000_3.nii.gz
0000064C,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.991853, 0.111443, -0.0617057, -0.102323, 0.985526, 0.135158]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-002\DICOM\00009B90\AA952F2D\AA104D4D\0000064C\0000064C_ax_t2_tse_Med_DRS_480_20251001000000_3.nii.gz
000050CE,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.99186, 0.11138, -0.0617144, -0.10226, 0.985534, 0.135154]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-002\DICOM\00009B90\AA952F2D\AA104D4D\000050CE\000050CE_ax_t2_tse_20251001000000_2.nii.gz
00007108,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,89.009,191,"[0.990225, 0.139475, -0.000671805, -0.0385834, 0.269294, -0.962285]","['anat', '_acq-tse2p2_run-22_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-002\DICOM\00009B90\AA952F2D\AA104D4D\00007108\00007108_cor_t2_tse_20251001000000_22.nii.gz
0000A952,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,89.012,191,"[0.990225, 0.139475, -0.000671805, -0.0385834, 0.269294, -0.962285]","['anat', '_acq-tse2p2_run-23_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-002\DICOM\00009B90\AA952F2D\AA104D4D\0000A952\0000A952_cor_t2_tse_RPT_20251001000000_23.nii.gz
00009509,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.995656, 0.0444229, 0.081825, -0.0590107, 0.980864, 0.185537]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-001\DICOM\00006527\AA3F4F63\AACCC5A7\00009509\00009509_ax_t2_tse_20250924000000_2.nii.gz
0000C351,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.995658, 0.0443913, 0.081819, -0.0589786, 0.980865, 0.18554]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-001\DICOM\00006527\AA3F4F63\AACCC5A7\0000C351\0000C351_ax_t2_tse_Med_DRS_480_20250924000000_3.nii.gz
