SeriesHash,SubjectID,MagneticFieldStrength,MRAcquisitionType,PulseSequenceName,SliceThickness,EchoTime,RepetitionTime,FlipAngle,EchoTrainLength,ParallelReductionFactorInPlane,AcquisitionDuration,PixelBandwidth,ImageOrientationPatientDICOM,BidsGuess,NIfTIPath
00000559,Min-Mo-005,3.0,3D,*spcR_50ns,3.0,0.022,0.7,120,35.0,2.0,203.77,630,"[0.986833, 0.161668, -0.00480946, -0.0323114, 0.16792, -0.985271]","['derived', '_acq-spcR5p2_run-8_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00000559\00000559_20251023000000_8.nii.gz
00003053,Min-Mo-005,3.0,3D,*spcR_50ns,0.999998,0.022,0.7,120,35.0,2.0,203.77,630,"[0.98765, 0.156667, -0.00172595, -0.0317137, 0.189116, -0.981443]","['derived', '_acq-spcR5p2_run-10_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00003053\00003053_20251023000000_10.nii.gz
00003266,Min-Mo-005,3.0,3D,*spcR_50ns,3.0,0.022,0.7,120,35.0,2.0,203.77,630,"[0.988182, 0.126545, -0.086504, -0.126063, 0.991961, 0.0110354]","['derived', '_acq-spcR5p2_run-7_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00003266\00003266_20251023000000_7.nii.gz
00003344,Min-Mo-005,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17.0,4.0,33.079,193,"[0.988182, 0.126545, -0.086504, -0.126063, 0.991961, 0.0110354]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00003344\00003344_ax_t2_tse_Med_DRS_480_20251023000000_3.nii.gz
0000344E,Min-Mo-005,3.0,2D,*tse2d1_17,5.0,0.088,5.13,150,17.0,2.0,138.487,191,"[0.988174, 0.126609, -0.0865033, -0.126127, 0.991953, 0.011041]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\0000344E\0000344E_ax_t2_tse_20251023000000_2.nii.gz
0000452A,Min-Mo-005,3.0,3D,*spcR_50ns,1.0,0.022,0.7,120,35.0,2.0,203.77,630,"[-0.167091, 0.980489, 0.103545, -0.0940479, 0.0886923, -0.991609]","['anat', '_acq-spcR5p2_run-6_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\0000452A\0000452A_t1_space_sag_20251023000000_6.nii.gz
00005FA6,Min-Mo-005,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,168.362,119,"[0.988182, 0.126545, -0.086504, -0.126063, 0.991961, 0.0110354]","['anat', '_acq-swi3p2_run-12_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00005FA6\00005FA6_ax_swi_ge3d_20251023000000_12.nii.gz
000063D1,Min-Mo-005,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,168.362,119,"[0.988182, 0.126545, -0.086504, -0.126063, 0.991961, 0.0110354]","['anat', '_acq-swi3p2_run-14_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\000063D1\000063D1_ax_swi_ge3d_20251023000000_14.nii.gz
00006CFC,Min-Mo-005,3.0,3D,*spcir_220ns,1.0,0.392,7.0,120,219.0,3.0,182.442,651,"[-0.167093, 0.980491, 0.103523, -0.0940441, 0.08867, -0.991611]","['func', '_acq-spcir2p3_dir-RL_run-11_bold']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00006CFC\00006CFC_sag_t2_spc_flair_fs_20251023000000_11.nii.gz
000075BB,Min-Mo-005,3.0,3D,*spcR_50ns,0.999998,0.022,0.7,120,35.0,2.0,203.77,630,"[0.988174, 0.126609, -0.0865033, -0.126127, 0.991953, 0.0110409]","['derived', '_acq-spcR5p2_run-9_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\000075BB\000075BB_20251023000000_9.nii.gz
00007B72,Min-Mo-005,3.0,2D,*tse2d1_17,5.0,0.088,5.72,150,17.0,2.0,62.897,191,"[0.984712, 0.169268, -0.0411178, -0.0672888, 0.151912, -0.986101]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00007B72\00007B72_cor_t2_tse_20251023000000_16.nii.gz
000093A3,Min-Mo-005,3.0,3D,*swi3d1r,12.8,0.02,0.028,15,,2.0,,119,"[0.988182, 0.126545, -0.086504, -0.126063, 0.991961, 0.0110354]","['derived', '_acq-swi3p2_run-15_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\000093A3\000093A3_ax_swi_ge3d_20251023000000_15.nii.gz
000006EE,Min-Mo-004,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17.0,2.0,182.137,191,"[0.999848, 0.017425, -0.000978225, -0.0174524, 0.998276, -0.0560425]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\000006EE\000006EE_ax_t2_tse_20251014000000_2.nii.gz
00002631,Min-Mo-004,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17.0,2.0,88.997,191,"[0.999735, -0.023013, -0.00067275, 0.00550074, 0.267135, -0.963643]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\00002631\00002631_cor_t2_tse_20251014000000_16.nii.gz
00002BBF,Min-Mo-004,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,245.642,119,"[0.999848, 0.017425, -0.000978225, -0.0174524, 0.998276, -0.0560425]","['anat', '_acq-swi3p2_run-13_part-phase_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\00002BBF\00002BBF_ax_swi_ge3d_20251014000000_13_ph.nii.gz
00003E78,Min-Mo-004,3.0,3D,*spcir_220ns,1.0,0.392,7.0,120,219.0,3.0,238.22,651,"[0.0415686, 0.986768, 0.156716, -0.0220469, 0.15772, -0.987238]","['func', '_acq-spcir2p3_dir-RL_run-11_bold']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\00003E78\00003E78_sag_t2_spc_flair_fs_20251014000000_11.nii.gz
000052F3,Min-Mo-004,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,245.642,119,"[0.999848, 0.017425, -0.000978225, -0.0174524, 0.998276, -0.0560425]","['anat', '_acq-swi3p2_run-14_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\000052F3\000052F3_ax_swi_ge3d_20251014000000_14.nii.gz
0000561E,Min-Mo-004,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.996073, 0.0884775, 0.00333684, -0.0200654, 0.26228, -0.964783]","['derived', '_acq-spcR4p2_run-7_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\0000561E\0000561E_20251014000000_7.nii.gz
00006B56,Min-Mo-004,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,245.642,119,"[0.999848, 0.017425, -0.000978225, -0.0174524, 0.998276, -0.0560425]","['anat', '_acq-swi3p2_run-12_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\00006B56\00006B56_ax_swi_ge3d_20251014000000_12.nii.gz
0000857B,Min-Mo-004,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999201, -0.0399216, 0.00209587, 0.0126559, 0.266164, -0.963845]","['derived', '_acq-spcR4p2_run-8_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\0000857B\0000857B_20251014000000_8.nii.gz
00008AC8,Min-Mo-004,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[1, 0, 0, 0, 0.999683, 0.0251839]","['derived', '_acq-spcR4p2_run-9_T2w']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-004\DICOM\00007A23\AA337C33\AA19DE6F\00008AC8\00008AC8_20251014000000_9.nii.gz
